moe_type,moe_group,notes,moe_category_label,cut_off_volume,demand_type,vehicle_type,information_type,from_node_id,mid_node_id,to_node_id,origin_zone_id,destination_zone_id,exclude_link_no,link_list_string,departure_starting_time,departure_ending_time,entrance_starting_time,entrance_ending_time,impact_type
link,1,,1-1_2,,,,,1,,2,,,,,,,,,
link,1,,1-2_1,,,,,2,,1,,,,,,,,,
link,1,,2-3_4,,,,,3,,4,,,,,,,,,
link,1,,2-4_3,,,,,4,,3,,,,,,,,,
link,1,,3-5_6,,,,,5,,6,,,,,,,,,
link,1,,3-6_5,,,,,6,,5,,,,,,,,,
link,1,,4-3_6,,,,,3,,6,,,,,,,,,
link,1,,4-6_3,,,,,6,,3,,,,,,,,,
link,1,,5-5_7,,,,,5,,7,,,,,,,,,
link,1,,5-7_5,,,,,7,,5,,,,,,,,,
link,1,,6-8_9,,,,,8,,9,,,,,,,,,
link,1,,6-9_8,,,,,9,,8,,,,,,,,,
link,1,,7-5_8,,,,,5,,8,,,,,,,,,
link,1,,7-8_5,,,,,8,,5,,,,,,,,,
link,1,,8-8_10,,,,,8,,10,,,,,,,,,
link,1,,8-10_8,,,,,10,,8,,,,,,,,,
link,1,,9-6_10,,,,,6,,10,,,,,,,,,
link,1,,9-10_6,,,,,10,,6,,,,,,,,,
link,1,,10-3_11,,,,,3,,11,,,,,,,,,
link,1,,10-11_3,,,,,11,,3,,,,,,,,,
link,1,,11-11_12,,,,,11,,12,,,,,,,,,
link,1,,11-12_11,,,,,12,,11,,,,,,,,,
link,1,,12-12_13,,,,,12,,13,,,,,,,,,
link,1,,12-13_12,,,,,13,,12,,,,,,,,,
link,1,,13-14_15,,,,,14,,15,,,,,,,,,
link,1,,13-15_14,,,,,15,,14,,,,,,,,,
link,1,,14-13_14,,,,,13,,14,,,,,,,,,
link,1,,14-14_13,,,,,14,,13,,,,,,,,,
link,1,,15-14_16,,,,,14,,16,,,,,,,,,
link,1,,15-16_14,,,,,16,,14,,,,,,,,,
link,1,,16-1_16,,,,,1,,16,,,,,,,,,
link,1,,16-16_1,,,,,16,,1,,,,,,,,,
link,1,,17-12_16,,,,,12,,16,,,,,,,,,
link,1,,17-16_12,,,,,16,,12,,,,,,,,,
link,1,,18-2_11,,,,,2,,11,,,,,,,,,
link,1,,18-11_2,,,,,11,,2,,,,,,,,,
link,1,,19-2_4,,,,,2,,4,,,,,,,,,
link,1,,19-4_2,,,,,4,,2,,,,,,,,,
link,1,,20-4_17,,,,,4,,17,,,,,,,,,
link,1,,20-17_4,,,,,17,,4,,,,,,,,,
link,1,,21-17_18,,,,,17,,18,,,,,,,,,
link,1,,21-18_17,,,,,18,,17,,,,,,,,,
link,1,,22-10_17,,,,,10,,17,,,,,,,,,
link,1,,22-17_10,,,,,17,,10,,,,,,,,,
link,1,,23-14_19,,,,,14,,19,,,,,,,,,
link,1,,23-19_14,,,,,19,,14,,,,,,,,,
link,1,,24-13_19,,,,,13,,19,,,,,,,,,
link,1,,24-19_13,,,,,19,,13,,,,,,,,,
link,1,,25-1_17,,,,,1,,17,,,,,,,,,
link,1,,25-17_1,,,,,17,,1,,,,,,,,,
link,1,,26-15_19,,,,,15,,19,,,,,,,,,
link,1,,26-19_15,,,,,19,,15,,,,,,,,,

