name,node_id,control_type,control_type_name,cycle_length_in_second,x,y,geometry
,1,0,unknown_control,0,129.364920045864,36.0362420079224,"<Point><coordinates>129.364920045864,36.0362420079224</coordinates></Point>"
,2,0,unknown_control,0,129.359758753606,36.0375862408016,"<Point><coordinates>129.359758753606,36.0375862408016</coordinates></Point>"
,3,0,unknown_control,0,129.313582979751,36.04248430988,"<Point><coordinates>129.313582979751,36.04248430988</coordinates></Point>"
,4,0,unknown_control,0,129.340801726867,36.0868170563197,"<Point><coordinates>129.340801726867,36.0868170563197</coordinates></Point>"
,5,0,unknown_control,0,129.157908160376,36.0901873429984,"<Point><coordinates>129.157908160376,36.0901873429984</coordinates></Point>"
,6,0,unknown_control,0,129.243657684758,36.0580538660333,"<Point><coordinates>129.243657684758,36.0580538660333</coordinates></Point>"
,7,0,unknown_control,0,129.049999933603,36.2303793023463,"<Point><coordinates>129.049999933603,36.2303793023463</coordinates></Point>"
,8,0,unknown_control,0,129.217510960451,36.2328909537955,"<Point><coordinates>129.217510960451,36.2328909537955</coordinates></Point>"
,9,0,unknown_control,0,129.187168584704,36.2750006486382,"<Point><coordinates>129.187168584704,36.2750006486382</coordinates></Point>"
,10,0,unknown_control,0,129.308822795577,36.190267043952,"<Point><coordinates>129.308822795577,36.190267043952</coordinates></Point>"
,11,0,unknown_control,0,129.308561457042,36.000799527216,"<Point><coordinates>129.308561457042,36.000799527216</coordinates></Point>"
,12,0,unknown_control,0,129.348325902026,35.9688899005064,"<Point><coordinates>129.348325902026,35.9688899005064</coordinates></Point>"
,13,0,unknown_control,0,129.436588790519,35.9519431432182,"<Point><coordinates>129.436588790519,35.9519431432182</coordinates></Point>"
,14,0,unknown_control,0,129.453217691738,35.9901278016516,"<Point><coordinates>129.453217691738,35.9901278016516</coordinates></Point>"
,15,0,unknown_control,0,129.553611700846,36.0780704589578,"<Point><coordinates>129.553611700846,36.0780704589578</coordinates></Point>"
,16,0,unknown_control,0,129.381265944163,36.0033931159611,"<Point><coordinates>129.381265944163,36.0033931159611</coordinates></Point>"
,17,0,unknown_control,0,129.351998649439,36.2018852843679,"<Point><coordinates>129.351998649439,36.2018852843679</coordinates></Point>"
,18,0,unknown_control,0,129.37841715526,36.2750003512804,"<Point><coordinates>129.37841715526,36.2750003512804</coordinates></Point>"
,19,0,unknown_control,0,129.534920618312,35.9804432843763,"<Point><coordinates>129.534920618312,35.9804432843763</coordinates></Point>"

