moe_type,moe_group,notes,moe_category_label,cut_off_volume,demand_type,vehicle_type,information_type,from_node_id,mid_node_id,to_node_id,origin_zone_id,destination_zone_id,exclude_link_no,link_list_string,departure_starting_time,departure_ending_time,entrance_starting_time,entrance_ending_time,impact_type
link,1,,1-1_2,,,,,1,,2,,,,,,,,,
link,1,,1-2_1,,,,,2,,1,,,,,,,,,
link,1,,3-3_4,,,,,3,,4,,,,,,,,,
link,1,,3-4_3,,,,,4,,3,,,,,,,,,
link,1,,9-1_5,,,,,1,,5,,,,,,,,,
link,1,,9-5_1,,,,,5,,1,,,,,,,,,
link,1,,10-5_6,,,,,5,,6,,,,,,,,,
link,1,,10-6_5,,,,,6,,5,,,,,,,,,
link,1,,7-6_7,,,,,6,,7,,,,,,,,,
link,1,,7-7_6,,,,,7,,6,,,,,,,,,
link,1,,8-3_7,,,,,3,,7,,,,,,,,,
link,1,,8-7_3,,,,,7,,3,,,,,,,,,
link,1,,4-5_8,,,,,5,,8,,,,,,,,,
link,1,,4-8_5,,,,,8,,5,,,,,,,,,
link,1,,11-7_8,,,,,7,,8,,,,,,,,,
link,1,,11-8_7,,,,,8,,7,,,,,,,,,
link,1,,12-2_9,,,,,2,,9,,,,,,,,,
link,1,,12-9_2,,,,,9,,2,,,,,,,,,
link,1,,5-8_9,,,,,8,,9,,,,,,,,,
link,1,,5-9_8,,,,,9,,8,,,,,,,,,
link,1,,6-4_9,,,,,4,,9,,,,,,,,,
link,1,,6-9_4,,,,,9,,4,,,,,,,,,
link,1,,2-2_4,,,,,2,,4,,,,,,,,,
link,1,,2-4_2,,,,,4,,2,,,,,,,,,

