from_node_id,to_node_id,type_code,start_time_in_min,end_time_in_min,total_link_volume,lane_capacity_in_vhc_per_hour,volume_over_capacity_ratio,avg_waiting_time_on_loading_buffer_(min),speed_limit,speed,percentage_of_speed_limit,level_of_service,sensor_data_flag,sensor_link_volume,simulated_link_volume,measurement_error,abs_measurement_error_percentage,simulated_AADT,TotalEnergy_(J/hr),CO2_(g/hr),NOX_(g/hr),CO_(g/hr),HC_(g/hr),sov_volume,hov_volume,truck_volume,intermodal_volume,geometry,from_node_id,to_node_id,vol_d1,vol_d2,spd_d1,spd_d2,
1,2,a,420,540,930,1500.0000,0.1550,0.0000,80.0000,79.9979,100,A,0,0.0000,930,0.0000,0.0000,9300.0000,0.0000,0.0000,0.0000,0.0000,0.0000,930,0,0,0,"<LineString><coordinates>129.364920045864,36.0362420079224,0.0 129.359758753606,36.0375862408016,0.0</coordinates></LineString>",1,2,
2,1,a,420,540,0,1500.0000,0.0000,0.0000,80.0000,80.0000,100,A,0,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,"<LineString><coordinates>129.359758753606,36.0375862408016,0.0 129.364920045864,36.0362420079224,0.0</coordinates></LineString>",2,1,
3,4,a,420,540,0,1500.0000,0.0000,0.0000,80.0000,80.0000,100,A,0,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,"<LineString><coordinates>129.313582979751,36.04248430988,0.0 129.340801726867,36.0868170563197,0.0</coordinates></LineString>",3,4,
4,3,a,420,540,930,1500.0000,0.1550,0.0000,80.0000,80.0000,100,A,0,0.0000,930,0.0000,0.0000,9300.0000,0.0000,0.0000,0.0000,0.0000,0.0000,930,0,0,0,"<LineString><coordinates>129.340801726867,36.0868170563197,0.0 129.313582979751,36.04248430988,0.0</coordinates></LineString>",4,3,
5,6,a,420,540,0,1500.0000,0.0000,0.0000,80.0000,80.0000,100,A,0,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,"<LineString><coordinates>129.157908160376,36.0901873429984,0.0 129.243657684758,36.0580538660333,0.0</coordinates></LineString>",5,6,
6,5,a,420,540,2000,1500.0000,0.3333,0.0000,80.0000,79.9819,100,A,0,0.0000,2000,0.0000,0.0000,20000.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2000,0,0,0,"<LineString><coordinates>129.243657684758,36.0580538660333,0.0 129.157908160376,36.0901873429984,0.0</coordinates></LineString>",6,5,
3,6,a,420,540,2000,1500.0000,0.3333,0.0000,80.0000,79.9165,100,A,0,0.0000,2000,0.0000,0.0000,20000.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2000,0,0,0,"<LineString><coordinates>129.313582979751,36.04248430988,0.0 129.243657684758,36.0580538660333,0.0</coordinates></LineString>",3,6,
6,3,a,420,540,0,1500.0000,0.0000,0.0000,80.0000,80.0000,100,A,0,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,"<LineString><coordinates>129.243657684758,36.0580538660333,0.0 129.313582979751,36.04248430988,0.0</coordinates></LineString>",6,3,
5,7,a,420,540,2000,1500.0000,0.3333,0.0000,80.0000,79.8653,100,A,0,0.0000,2000,0.0000,0.0000,20000.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2000,0,0,0,"<LineString><coordinates>129.157908160376,36.0901873429984,0.0 129.049999933603,36.2303793023463,0.0</coordinates></LineString>",5,7,
7,5,a,420,540,0,1500.0000,0.0000,0.0000,80.0000,80.0000,100,A,0,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,"<LineString><coordinates>129.049999933603,36.2303793023463,0.0 129.157908160376,36.0901873429984,0.0</coordinates></LineString>",7,5,
