from_node_id,to_node_id,link_id_from_to,day_no,timestamp_in_min,travel_time_in_min,delay_in_min,link_in_volume_number_of_veh,link_out_volume_number_of_veh,link_volume_in_veh_per_hour_per_lane,link_volume_in_veh_per_hour_for_all_lanes,density_in_veh_per_mile_per_lane,speed_in_mph,queue_length_percentage,cumulative_arrival_count,cumulative_departure_count,time_dependent_left_arrival_count,time_dependent_left_departure_count,number_of_through_and_right_queued_vehicles,number_of_left_queued_vehicles,cumulative_SOV_revenue,cumulative_HOV_revenue,total_energy,total_CO2,total_NOX,total_CO,total_HC,energy_miles_per_gallon,CO2_per_mile,NOX_per_mile,CO_per_mile,HC_per_mile
1,2,1->2,2,420,  0.45,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,80.00,0,0,0,0,0,0,  0.00,  0.00,  0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,2,1->2,2,421,  0.45,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,80.00,0,0,0,0,0,0,  0.00,  0.00,  0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,2,1->2,2,422,  0.45,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,80.00,0,0,0,0,0,0,  0.00,  0.00,  0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,2,1->2,2,423,  0.45,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,80.00,0,0,0,0,0,0,  0.00,  0.00,  0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,2,1->2,2,424,  0.45,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,80.00,0,0,0,0,0,0,  0.00,  0.00,  0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,2,1->2,2,425,  0.45,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,80.00,0,0,0,0,0,0,  0.00,  0.00,  0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,2,1->2,2,426,  0.45,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,80.00,0,0,0,0,0,0,  0.00,  0.00,  0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,2,1->2,2,427,  0.45,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,80.00,0,0,0,0,0,0,  0.00,  0.00,  0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,2,1->2,2,428,  0.45,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,80.00,0,0,0,0,0,0,  0.00,  0.00,  0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,2,1->2,2,429,  0.45,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,80.00,0,0,0,0,0,0,  0.00,  0.00,  0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,2,1->2,2,430,  0.45,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,80.00,0,0,0,0,0,0,  0.00,  0.00,  0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,2,1->2,2,431,  0.45,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,80.00,0,0,0,0,0,0,  0.00,  0.00,  0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,2,1->2,2,432,  0.45,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,80.00,0,0,0,0,0,0,  0.00,  0.00,  0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,2,1->2,2,433,  0.45,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,80.00,0,0,0,0,0,0,  0.00,  0.00,  0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,2,1->2,2,434,  0.45,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,80.00,0,0,0,0,0,0,  0.00,  0.00,  0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,2,1->2,2,435,  0.45,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,80.00,0,0,0,0,0,0,  0.00,  0.00,  0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,2,1->2,2,436,  0.45,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,80.00,0,0,0,0,0,0,  0.00,  0.00,  0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,2,1->2,2,437,  0.45,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,80.00,0,0,0,0,0,0,  0.00,  0.00,  0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,2,1->2,2,438,  0.45,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,80.00,0,0,0,0,0,0,  0.00,  0.00,  0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,2,1->2,2,439,  0.45,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,80.00,0,0,0,0,0,0,  0.00,  0.00,  0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,2,1->2,2,440,  0.45,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,80.00,0,0,0,0,0,0,  0.00,  0.00,  0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
