time_stamp_in_min,cumulative_in_flow_count,cumulative_out_flow_count,number_vehicles_in_network,flow_in_a_min,avg_trip_time_in_min
420,15,0,15,30,87.3163,
421,32,0,32,34,89.5243,
422,48,0,48,32,94.8082,
423,65,0,65,34,83.8275,
424,82,0,82,34,89.2346,
425,98,0,98,32,95.1661,
426,115,0,115,34,84.1172,
427,132,0,132,34,89.2331,
428,148,0,148,32,95.1302,
429,165,0,165,34,84.4156,
430,182,0,182,34,89.2347,
431,198,0,198,32,94.8099,
432,215,0,215,34,84.1288,
433,232,0,232,34,89.2361,
434,248,0,248,32,95.1271,
435,265,0,265,34,77.0508,
436,282,0,282,34,89.5347,
437,298,0,298,32,95.1255,
438,315,0,315,34,84.1258,
439,332,0,332,34,89.245,
440,348,0,348,32,94.8709,
441,365,0,365,34,84.4183,
442,382,0,382,34,89.2407,
443,398,0,398,32,94.8256,
444,415,0,415,34,84.1315,
445,432,0,432,34,89.5363,
446,448,0,448,32,94.8053,
447,465,0,465,34,84.1359,
448,482,0,482,34,89.2348,
449,498,0,498,32,95.1194,
450,515,0,515,34,77.0579,
451,532,0,532,34,89.2363,
452,548,0,548,32,94.8023,
453,565,0,565,34,84.1181,
454,582,0,582,34,89.5408,
455,598,0,598,32,94.8664,
456,615,0,615,34,84.1225,
457,632,0,632,34,89.5276,
458,648,0,648,32,95.1305,
459,665,0,665,34,84.1239,
460,682,0,682,34,89.2379,
461,699,0,699,34,89.2331,
462,715,0,715,32,95.1238,
463,732,0,732,34,83.8364,
464,749,0,749,34,89.2346,
465,765,0,765,32,86.9879,
466,782,0,782,34,84.4113,
467,799,0,799,34,89.5361,
468,815,0,815,32,94.8114,
469,832,0,832,34,84.1362,
470,849,0,849,34,89.2817,
471,865,0,865,32,95.1317,
472,882,0,882,34,83.8259,
473,899,0,899,34,89.5303,
474,915,0,915,32,95.1333,
475,932,0,932,34,84.4244,
476,949,0,949,34,89.2377,
477,965,0,965,32,94.8131,
478,982,0,982,34,84.1316,
479,999,0,999,34,89.2421,
480,1015,0,1015,32,86.9959,
481,1032,0,1032,34,84.1242,
482,1049,0,1049,34,89.5406,
483,1065,0,1065,32,95.1287,
484,1082,0,1082,34,84.1404,
485,1099,0,1099,34,89.2863,
486,1115,0,1115,32,95.1303,
487,1132,0,1132,34,84.1212,
488,1149,0,1149,34,89.2289,
489,1165,0,1165,32,94.8069,
490,1182,0,1182,34,84.4226,
491,1199,0,1199,34,89.5275,
492,1215,0,1215,32,94.8116,
493,1232,0,1232,34,84.1181,
494,1249,0,1249,34,89.2466,
495,1265,0,1265,32,87.0257,
496,1282,0,1282,34,84.1283,
497,1299,0,1299,34,89.2335,
498,1315,0,1315,32,94.8242,
499,1332,0,1332,34,84.4298,
500,1349,0,1349,34,89.2614,
501,1366,1,1365,34,89.239,
502,1382,18,1364,32,95.1395,
503,1399,25,1374,34,84.1246,
504,1416,34,1382,34,89.5346,
505,1432,43,1389,32,94.8192,
506,1449,51,1398,34,84.4289,
507,1466,59,1407,34,89.2449,
508,1482,68,1414,32,95.1333,
509,1499,77,1422,34,83.8362,
510,1516,85,1431,34,81.92,
511,1532,93,1439,32,95.1317,
512,1549,100,1449,34,84.4259,
513,1566,118,1448,34,89.2509,
514,1582,134,1448,32,94.8365,
515,1599,151,1448,34,84.4332,
516,1616,168,1448,34,89.2494,
517,1632,193,1439,32,94.8318,
518,1649,208,1441,34,83.8434,
519,1666,224,1442,34,89.5392,
520,1682,241,1441,32,94.8178,
521,1699,258,1441,34,84.436,
522,1716,276,1440,34,89.2583,
523,1732,291,1441,32,95.1412,
524,1749,309,1440,34,84.1345,
525,1766,326,1440,34,81.9216,
526,1782,343,1439,32,94.8178,
527,1799,350,1449,34,84.1329,
528,1816,367,1449,34,89.5349,
529,1832,384,1448,32,94.8194,
530,1849,402,1447,34,84.1255,
531,1866,419,1447,34,89.2452,
532,1882,443,1439,32,95.1304,
533,1899,460,1439,34,83.8299,
534,1916,477,1439,34,89.5319,
535,1932,493,1439,32,94.807,
536,1949,509,1440,34,84.4313,
537,1966,526,1440,34,89.5334,
538,1982,542,1440,32,94.8211,
539,1999,560,1439,34,83.8298,
540,2000,576,1424,2,0,
541,2000,593,1407,0,0,
542,2000,603,1397,0,0,
543,2000,617,1383,0,0,
544,2000,634,1366,0,0,
545,2000,651,1349,0,0,
546,2000,668,1332,0,0,
547,2000,694,1306,0,0,
548,2000,711,1289,0,0,
549,2000,726,1274,0,0,
550,2000,744,1256,0,0,
551,2000,760,1240,0,0,
552,2000,776,1224,0,0,
553,2000,792,1208,0,0,
554,2000,810,1190,0,0,
555,2000,827,1173,0,0,
556,2000,842,1158,0,0,
557,2000,851,1149,0,0,
558,2000,867,1133,0,0,
559,2000,885,1115,0,0,
560,2000,901,1099,0,0,
561,2000,917,1083,0,0,
562,2000,943,1057,0,0,
563,2000,961,1039,0,0,
564,2000,976,1024,0,0,
565,2000,992,1008,0,0,
566,2000,1009,991,0,0,
567,2000,1026,974,0,0,
568,2000,1042,958,0,0,
569,2000,1058,942,0,0,
570,2000,1076,924,0,0,
571,2000,1092,908,0,0,
572,2000,1102,898,0,0,
573,2000,1116,884,0,0,
574,2000,1134,866,0,0,
575,2000,1151,849,0,0,
576,2000,1167,833,0,0,
577,2000,1192,808,0,0,
578,2000,1211,789,0,0,
579,2000,1229,771,0,0,
580,2000,1243,757,0,0,
581,2000,1261,739,0,0,
582,2000,1276,724,0,0,
583,2000,1294,706,0,0,
584,2000,1310,690,0,0,
585,2000,1327,673,0,0,
586,2000,1342,658,0,0,
587,2000,1352,648,0,0,
588,2000,1368,632,0,0,
589,2000,1384,616,0,0,
590,2000,1400,600,0,0,
591,2000,1418,582,0,0,
592,2000,1442,558,0,0,
593,2000,1458,542,0,0,
594,2000,1476,524,0,0,
595,2000,1491,509,0,0,
596,2000,1511,489,0,0,
597,2000,1526,474,0,0,
598,2000,1543,457,0,0,
599,2000,1559,441,0,0,
600,2000,1577,423,0,0,
601,2000,1592,408,0,0,
602,2000,1602,398,0,0,
603,2000,1619,381,0,0,
604,2000,1636,364,0,0,
605,2000,1652,348,0,0,
606,2000,1668,332,0,0,
607,2000,1693,307,0,0,
608,2000,1710,290,0,0,
609,2000,1728,272,0,0,
610,2000,1741,259,0,0,
611,2000,1761,239,0,0,
612,2000,1777,223,0,0,
613,2000,1795,205,0,0,
614,2000,1809,191,0,0,
615,2000,1827,173,0,0,
616,2000,1843,157,0,0,
617,2000,1853,147,0,0,
618,2000,1869,131,0,0,
619,2000,1885,115,0,0,
620,2000,1902,98,0,0,
621,2000,1918,82,0,0,
622,2000,1926,74,0,0,
623,2000,1934,66,0,0,
624,2000,1943,57,0,0,
