agent_id,trip_id,from_zone_id,to_zone_id,departure_time,arrival_time,buffer_waiting_time,complete_flag,trip_time,demand_type,pricing_type,vehicle_type,information_type,value_of_time,toll_cost_in_dollar,emissions,distance_in_mile,TotalEnergy_(KJ),CO2_(g),NOX_(g),CO_(g),HC_(g),age,number_of_nodes,VMS_response_info,Evacuation_response_info,path_node_sequence,path_time_sequence,link_travel_time_sequence,path_sequence
0,0,15,7,420.06,501.90,0.04,1,81.84,1,1,1,2,1.00,0.000,0.000,109.114,0.000000,0.000000,0.000000,0.000000,0.000000,0,9,,,15;14;13;12;11;3;6;5;7;,420.1;446.0;450.2;458.4;462.7;466.4;472.6;480.4;501.9;,25.85;4.22;8.22;4.30;3.73;6.14;7.84;21.49;,"<15;420.10;0;0><14; 445.95;25.85;0.00><13; 450.17;4.22;0.00><12; 458.39;8.22;0.00><11; 462.69;4.30;0.00><3; 466.42;3.73;0.00><6; 472.56;6.14;0.00><5; 480.41;7.84;0.00><7; 501.90;21.49;0.00>"
1,0,15,7,420.12,502.00,-0.02,1,81.88,1,1,2,2,1.00,0.000,0.000,109.114,0.000000,0.000000,0.000000,0.000000,0.000000,0,9,,,15;14;13;12;11;3;6;5;7;,420.1;446.0;450.2;458.5;462.8;466.5;472.6;480.5;502.0;,25.91;4.22;8.22;4.30;3.73;6.14;7.84;21.53;,"<15;420.10;0;0><14; 446.01;25.91;0.00><13; 450.23;4.22;0.00><12; 458.45;8.22;0.00><11; 462.75;4.30;0.00><3; 466.48;3.73;0.00><6; 472.62;6.14;0.00><5; 480.47;7.84;0.00><7; 502.00;21.53;0.00>"
2,0,15,7,420.18,502.00,0.02,1,81.82,1,1,1,2,1.00,0.000,0.000,109.114,0.000000,0.000000,0.000000,0.000000,0.000000,0,9,,,15;14;13;12;11;3;6;5;7;,420.2;446.1;450.3;458.5;462.8;466.5;472.7;480.5;502.0;,25.87;4.22;8.22;4.30;3.73;6.14;7.84;21.47;,"<15;420.20;0;0><14; 446.07;25.87;0.00><13; 450.29;4.22;0.00><12; 458.51;8.22;0.00><11; 462.81;4.30;0.00><3; 466.54;3.73;0.00><6; 472.68;6.14;0.00><5; 480.53;7.84;0.00><7; 502.00;21.47;0.00>"
3,0,15,7,420.24,502.10,0.06,1,81.86,1,1,1,2,1.00,0.000,0.000,109.114,0.000000,0.000000,0.000000,0.000000,0.000000,0,9,,,15;14;13;12;11;3;6;5;7;,420.3;446.1;450.3;458.6;462.9;466.6;472.7;480.6;502.1;,25.83;4.22;8.22;4.30;3.73;6.14;7.84;21.51;,"<15;420.30;0;0><14; 446.13;25.83;0.00><13; 450.35;4.22;0.00><12; 458.57;8.22;0.00><11; 462.87;4.30;0.00><3; 466.60;3.73;0.00><6; 472.74;6.14;0.00><5; 480.59;7.84;0.00><7; 502.10;21.51;0.00>"
4,0,15,7,420.30,502.20,0.00,1,81.90,1,1,1,2,1.00,0.000,0.000,109.114,0.000000,0.000000,0.000000,0.000000,0.000000,0,9,,,15;14;13;12;11;3;6;5;7;,420.3;446.2;450.4;458.6;462.9;466.7;472.8;480.6;502.2;,25.89;4.22;8.22;4.30;3.73;6.14;7.84;21.55;,"<15;420.30;0;0><14; 446.19;25.89;0.00><13; 450.41;4.22;0.00><12; 458.63;8.22;0.00><11; 462.93;4.30;0.00><3; 466.66;3.73;0.00><6; 472.80;6.14;0.00><5; 480.65;7.84;0.00><7; 502.20;21.55;0.00>"
5,0,15,7,420.36,502.20,0.04,1,81.84,1,1,1,2,1.00,0.000,0.000,109.114,0.000000,0.000000,0.000000,0.000000,0.000000,0,9,,,15;14;13;12;11;3;6;5;7;,420.4;446.3;450.5;458.7;463.0;466.7;472.9;480.7;502.2;,25.85;4.22;8.22;4.30;3.73;6.14;7.84;21.49;,"<15;420.40;0;0><14; 446.25;25.85;0.00><13; 450.47;4.22;0.00><12; 458.69;8.22;0.00><11; 462.99;4.30;0.00><3; 466.72;3.73;0.00><6; 472.86;6.14;0.00><5; 480.71;7.84;0.00><7; 502.20;21.49;0.00>"
6,0,15,7,420.42,502.30,-0.02,1,81.88,1,1,2,2,1.00,0.000,0.000,109.114,0.000000,0.000000,0.000000,0.000000,0.000000,0,9,,,15;14;13;12;11;3;6;5;7;,420.4;446.3;450.5;458.8;463.1;466.8;472.9;480.8;502.3;,25.91;4.22;8.22;4.30;3.73;6.14;7.84;21.53;,"<15;420.40;0;0><14; 446.31;25.91;0.00><13; 450.53;4.22;0.00><12; 458.75;8.22;0.00><11; 463.05;4.30;0.00><3; 466.78;3.73;0.00><6; 472.92;6.14;0.00><5; 480.77;7.84;0.00><7; 502.30;21.53;0.00>"
7,0,15,7,420.48,502.30,0.02,1,81.82,1,1,1,2,1.00,0.000,0.000,109.114,0.000000,0.000000,0.000000,0.000000,0.000000,0,9,,,15;14;13;12;11;3;6;5;7;,420.5;446.4;450.6;458.8;463.1;466.8;473.0;480.8;502.3;,25.87;4.22;8.22;4.30;3.73;6.14;7.84;21.47;,"<15;420.50;0;0><14; 446.37;25.87;0.00><13; 450.59;4.22;0.00><12; 458.81;8.22;0.00><11; 463.11;4.30;0.00><3; 466.84;3.73;0.00><6; 472.98;6.14;0.00><5; 480.83;7.84;0.00><7; 502.30;21.47;0.00>"
8,0,15,7,420.54,502.40,0.06,1,81.86,1,1,1,2,1.00,0.000,0.000,109.114,0.000000,0.000000,0.000000,0.000000,0.000000,0,9,,,15;14;13;12;11;3;6;5;7;,420.6;446.4;450.6;458.9;463.2;466.9;473.0;480.9;502.4;,25.83;4.22;8.22;4.30;3.73;6.14;7.84;21.51;,"<15;420.60;0;0><14; 446.43;25.83;0.00><13; 450.65;4.22;0.00><12; 458.87;8.22;0.00><11; 463.17;4.30;0.00><3; 466.90;3.73;0.00><6; 473.04;6.14;0.00><5; 480.89;7.84;0.00><7; 502.40;21.51;0.00>"
9,0,15,7,420.60,502.50,0.00,1,81.90,1,1,1,2,1.00,0.000,0.000,109.114,0.000000,0.000000,0.000000,0.000000,0.000000,0,9,,,15;14;13;12;11;3;6;5;7;,420.6;446.5;450.7;458.9;463.2;467.0;473.1;480.9;502.5;,25.89;4.22;8.22;4.30;3.73;6.14;7.84;21.55;,"<15;420.60;0;0><14; 446.49;25.89;0.00><13; 450.71;4.22;0.00><12; 458.93;8.22;0.00><11; 463.23;4.30;0.00><3; 466.96;3.73;0.00><6; 473.10;6.14;0.00><5; 480.95;7.84;0.00><7; 502.50;21.55;0.00>"
