Link,Scenario No,Start Day,End Day,Start Time in Min,End Time in Min,Capacity Reduction Percentage (%),Speed Limit (mph),
[4 9],1,1,7,840,1440,100,80,
[8 9],1,1,1,840,1440,100,80,
[3 7],1,1,1,840,1440,100,80,
[5 8],1,1,1,840,1440,100,80,
[2 9],1,1,7,840,1440,100,80,
[4 9],2,1,7,840,1440,100,80,
[2 9],2,1,7,840,1440,100,80,
[4 9],3,0,0,840,1440,100,80,
[4 9],4,0,0,840,1440,100,80,
[4 9],5,1,7,840,1440,100,80,
[8 9],5,1,7,840,1440,100,80,
[3 7],5,1,1,840,1440,100,80,
[5 8],5,1,1,840,1440,100,80,
[2 9],5,1,7,840,1440,100,80,
[4 9],6,1,7,840,1440,100,80,
[8 9],6,1,7,840,1440,100,80,
[5 8],6,1,7,840,1440,100,80,
[2 9],6,1,7,840,1440,100,80,
[4 9],7,0,0,840,1440,100,80,
[4 9],8,0,0,840,1440,100,80,
[4 9],9,1,7,840,1440,100,80,
[8 9],9,1,7,840,1440,100,80,
[3 7],9,1,7,840,1440,100,80,
[5 8],9,1,7,840,1440,100,80,
[2 9],9,1,7,840,1440,100,80,
[4 9],10,1,7,840,1440,100,80,
[8 9],10,1,7,840,1440,100,80,
[3 7],10,1,7,840,1440,100,80,
[5 8],10,1,7,840,1440,100,80,
[2 9],10,1,7,840,1440,100,80,
[4 9],11,0,0,840,1440,100,80,
[4 9],12,0,0,840,1440,100,80,
[4 9],13,1,450,840,1440,100,80,
[8 9],13,1,7,840,1440,100,80,
[6 7],13,1,1,840,1440,100,80,
[3 7],13,1,7,840,1440,100,80,
[5 8],13,1,7,840,1440,100,80,
[2 9],13,1,7,840,1440,100,80,
[4 9],14,1,450,840,1440,100,80,
[8 9],14,1,7,840,1440,100,80,
[3 7],14,1,7,840,1440,100,80,
[5 8],14,1,7,840,1440,100,80,
[2 9],14,1,7,840,1440,100,80,
[4 9],15,1,450,840,1440,100,80,
[8 9],15,1,150,840,1440,100,80,
[4 9],16,1,450,840,1440,100,80,
