Link,Scenario No,Start Day,End Day,Start Time in Min,End Time in Min,Capacity Reduction Percentage (%),Speed Limit (mph)
[14 16],1,1,7,420,1440,100,80
[16 14],1,1,7,420,1440,100,80
[5 8],1,1,7,420,1440,100,80
[8 5],1,1,7,420,1440,100,80
[2 11],1,1,7,420,1440,100,80
[11 2],1,1,7,420,1440,100,80
[14 19],1,1,7,420,1440,100,80
[19 14],1,1,7,420,1440,100,80
[17 18],1,1,7,420,1440,100,80
[18 17],1,1,7,420,1440,100,80
[13 19],2,1,7,420,1440,100,80
[19 13],2,1,7,420,1440,100,80
[14 16],2,1,7,420,1440,100,80
[16 14],2,1,7,420,1440,100,80
[1 17],2,1,7,420,1440,100,80
[17 1],2,1,7,420,1440,100,80
[8 9],2,1,7,420,1440,100,80
[9 8],2,1,7,420,1440,100,80
[5 8],2,1,7,420,1440,100,80
[8 5],2,1,7,420,1440,100,80
[2 11],2,1,7,420,1440,100,80
[11 2],2,1,7,420,1440,100,80
[14 19],2,1,7,420,1440,100,80
[19 14],2,1,7,420,1440,100,80
[17 18],2,1,7,420,1440,100,80
[18 17],2,1,7,420,1440,100,80
[14 15],2,1,7,420,1440,100,80
[15 14],2,1,7,420,1440,100,80
[14 16],2,1,7,420,1440,100,80
[16 14],2,1,7,420,1440,100,80
[11 12],3,1,7,420,1440,100,80
[12 11],3,1,7,420,1440,100,80
[13 19],3,1,7,420,1440,100,80
[19 13],3,1,7,420,1440,100,80
[14 16],3,1,7,420,1440,100,80
[16 14],3,1,7,420,1440,100,80
[1 17],3,1,7,420,1440,100,80
[17 1],3,1,7,420,1440,100,80
[8 10],3,1,7,420,1440,100,80
[10 8],3,1,7,420,1440,100,80
[8 9],3,1,7,420,1440,100,80
[9 8],3,1,7,420,1440,100,80
[5 8],3,1,7,420,1440,100,80
[8 5],3,1,7,420,1440,100,80
[2 11],3,1,7,420,1440,100,80
[11 2],3,1,7,420,1440,100,80
[14 19],3,1,7,420,1440,100,80
[19 14],3,1,7,420,1440,100,80
[17 18],3,1,7,420,1440,100,80
[18 17],3,1,7,420,1440,100,80
[14 15],3,1,7,420,1440,100,80
[15 14],3,1,7,420,1440,100,80
[14 16],3,1,7,420,1440,100,80
[16 14],3,1,7,420,1440,100,80
[5 7],4,1,7,420,1440,100,80
[7 5],4,1,7,420,1440,100,80
[5 6],4,1,7,420,1440,100,80
[6 5],4,1,7,420,1440,100,80
[11 12],4,1,7,420,1440,100,80
[12 11],4,1,7,420,1440,100,80
[12 13],4,1,7,420,1440,100,80
[13 12],4,1,7,420,1440,100,80
[13 19],4,1,7,420,1440,100,80
[19 13],4,1,7,420,1440,100,80
[13 19],4,1,7,420,1440,100,80
[19 13],4,1,7,420,1440,100,80
[15 19],4,1,7,420,1440,100,80
[19 15],4,1,7,420,1440,100,80
[14 15],4,1,7,420,1440,100,80
[15 14],4,1,7,420,1440,100,80
[14 16],4,1,450,420,1440,100,80
[16 14],4,1,450,420,1440,100,80
[1 16],4,1,7,420,1440,100,80
[16 1],4,1,7,420,1440,100,80
[1 17],4,1,7,420,1440,100,80
[17 1],4,1,7,420,1440,100,80
[10 17],4,1,7,420,1440,100,80
[17 10],4,1,7,420,1440,100,80
[8 10],4,1,7,420,1440,100,80
[10 8],4,1,7,420,1440,100,80
[8 9],4,1,7,420,1440,100,80
[9 8],4,1,7,420,1440,100,80
[5 8],4,1,150,420,1440,100,80
[8 5],4,1,150,420,1440,100,80
[6 10],4,1,7,420,1440,100,80
[10 6],4,1,7,420,1440,100,80
[4 17],4,1,7,420,1440,100,80
[17 4],4,1,7,420,1440,100,80
[3 4],4,1,7,420,1440,100,80
[4 3],4,1,7,420,1440,100,80
[2 4],4,1,7,420,1440,100,80
[4 2],4,1,7,420,1440,100,80
[2 11],4,1,450,420,1440,100,80
[11 2],4,1,450,420,1440,100,80
[12 16],4,1,7,420,1440,100,80
[16 12],4,1,7,420,1440,100,80
[13 14],4,1,7,420,1440,100,80
[14 13],4,1,7,420,1440,100,80
[14 19],4,1,450,420,1440,100,80
[19 14],4,1,450,420,1440,100,80
[17 18],4,1,7,420,1440,100,80
[18 17],4,1,7,420,1440,100,80
[14 15],4,1,7,420,1440,100,80
[15 14],4,1,7,420,1440,100,80
[14 15],4,1,7,420,1440,100,80
[15 14],4,1,7,420,1440,100,80
[14 16],4,1,7,420,1440,100,80
[16 14],4,1,7,420,1440,100,80
[14 16],4,1,7,420,1440,100,80
[16 14],4,1,7,420,1440,100,80
[14 16],5,1,450,420,1440,100,80
[16 14],5,1,450,420,1440,100,80
[5 8],5,1,150,420,1440,100,80
[8 5],5,1,150,420,1440,100,80
[2 11],5,1,450,420,1440,100,80
[11 2],5,1,450,420,1440,100,80
[14 19],5,1,450,420,1440,100,80
[19 14],5,1,450,420,1440,100,80
[14 16],6,1,450,420,1440,100,80
[16 14],6,1,450,420,1440,100,80
[2 11],6,1,450,420,1440,100,80
[11 2],6,1,450,420,1440,100,80
[14 19],6,1,450,420,1440,100,80
[19 14],6,1,450,420,1440,100,80

