compID,directDamage
1,31
2,1337
3,0
4,0
5,0
6,45
7,0
8,860
9,8
10,2
11,6368
12,0
13,69
14,234
15,35
16,1068
17,9
18,113
19,2700
20,2
21,0
22,323
23,70
24,0
25,45
26,0
27,0
1,2064
2,56743
3,44
4,61
5,5
6,1007
7,6
8,9546
9,567
10,110
11,115357
12,6
13,2377
14,6795
15,2105
16,20525
17,558
18,6710
19,51874
20,416
21,4
22,7239
23,2982
24,1
25,458
26,2
27,2
1,103600
2,2080976
3,23114
4,18162
5,3108
6,62130
7,2109
8,244957
9,96861
10,33874
11,1435470
12,3723
13,212969
14,322626
15,201906
16,601268
17,53519
18,386422
19,1519605
20,110295
21,3775
22,446414
23,109392
24,941
25,40563
26,1138
27,1868
1,389478
2,5482100
3,142990
4,100554
5,20801
6,166678
7,12949
8,499603
9,440127
10,173809
11,2409300
12,27564
13,640018
14,920975
15,718550
16,1383038
17,184147
18,1148938
19,3495396
20,514793
21,31936
22,1197614
23,288181
24,7800
25,121649
26,10462
27,13909
1,31
2,1337
3,0
4,0
5,0
6,45
7,0
8,860
9,8
10,2
11,6368
12,0
13,69
14,234
15,35
16,1068
17,9
18,113
19,2700
20,2
21,0
22,323
23,70
24,0
25,45
26,0
27,0
1,2064
2,56743
3,44
4,61
5,5
6,1007
7,6
8,9546
9,567
10,110
11,115357
12,6
13,2377
14,6795
15,2105
16,20525
17,558
18,6710
19,51874
20,416
21,4
22,7239
23,2982
24,1
25,458
26,2
27,2
1,103600
2,2080976
3,23114
4,18162
5,3108
6,62130
7,2109
8,244957
9,96861
10,33874
11,1435470
12,3723
13,212969
14,322626
15,201906
16,601268
17,53519
18,386422
19,1519605
20,110295
21,3775
22,446414
23,109392
24,941
25,40563
26,1138
27,1868
1,389478
2,5482100
3,142990
4,100554
5,20801
6,166678
7,12949
8,499603
9,440127
10,173809
11,2409300
12,27564
13,640018
14,920975
15,718550
16,1383038
17,184147
18,1148938
19,3495396
20,514793
21,31936
22,1197614
23,288181
24,7800
25,121649
26,10462
27,13909
1,31
2,1337
3,0
4,0
5,0
6,45
7,0
8,860
9,8
10,2
11,6368
12,0
13,69
14,234
15,35
16,1068
17,9
18,113
19,2700
20,2
21,0
22,323
23,70
24,0
25,45
26,0
27,0
1,2064
2,56743
3,44
4,61
5,5
6,1007
7,6
8,9546
9,567
10,110
11,115357
12,6
13,2377
14,6795
15,2105
16,20525
17,558
18,6710
19,51874
20,416
21,4
22,7239
23,2982
24,1
25,458
26,2
27,2
1,103600
2,2080976
3,23114
4,18162
5,3108
6,62130
7,2109
8,244957
9,96861
10,33874
11,1435470
12,3723
13,212969
14,322626
15,201906
16,601268
17,53519
18,386422
19,1519605
20,110295
21,3775
22,446414
23,109392
24,941
25,40563
26,1138
27,1868
1,389478
2,5482100
3,142990
4,100554
5,20801
6,166678
7,12949
8,499603
9,440127
10,173809
11,2409300
12,27564
13,640018
14,920975
15,718550
16,1383038
17,184147
18,1148938
19,3495396
20,514793
21,31936
22,1197614
23,288181
24,7800
25,121649
26,10462
27,13909
1,31
2,1337
3,0
4,0
5,0
6,45
7,0
8,860
9,8
10,2
11,6368
12,0
13,69
14,234
15,35
16,1068
17,9
18,113
19,2700
20,2
21,0
22,323
23,70
24,0
25,45
26,0
27,0
1,2064
2,56743
3,44
4,61
5,5
6,1007
7,6
8,9546
9,567
10,110
11,115357
12,6
13,2377
14,6795
15,2105
16,20525
17,558
18,6710
19,51874
20,416
21,4
22,7239
23,2982
24,1
25,458
26,2
27,2
1,103600
2,2080976
3,23114
4,18162
5,3108
6,62130
7,2109
8,244957
9,96861
10,33874
11,1435470
12,3723
13,212969
14,322626
15,201906
16,601268
17,53519
18,386422
19,1519605
20,110295
21,3775
22,446414
23,109392
24,941
25,40563
26,1138
27,1868
1,389478
2,5482100
3,142990
4,100554
5,20801
6,166678
7,12949
8,499603
9,440127
10,173809
11,2409300
12,27564
13,640018
14,920975
15,718550
16,1383038
17,184147
18,1148938
19,3495396
20,514793
21,31936
22,1197614
23,288181
24,7800
25,121649
26,10462
27,13909

